ID,program,agency,address,city,state,zip,district,phone,fax,tdd,email,web,duration,description,eligibility,days,hours,ages,fees,access,translation,computer,leadership,leadershipage,appdeadline,requirements,translator,bus,locations,bart,volunteer,logo,minage,contactemail,photo,download,contact,contactphone,password,user,approved,other,notes,provider,mapaddress,services
91,National Center for Youth Law,,"405 14th Street, 15th Floor",Oakland,CA,94612,,(510) 835-8098,(510) 835-8099,,,www.youthlaw.org,Year Round,National Center for Youth Law uses the law to protect children from the harms caused by poverty and to improve the lives of children living in poverty.,,,,"0-5, 6-12, 13-18",,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,"405 14th Street, 94612","Education/Academic Support, Family Support/Counseling, Youth Leadership/Volunteer"
92,Native American Health Center ? Youth Services (NA,,3124 International Blvd.,Oakland,CA,94601,,(510) 535-4492,(510) 437-9574,,crystals@nativehealth.org,www.nativehealth.org,Year Round,"The NAHC ? Youths Services is designed to empower youth by teaching positive health habits and leadership skills, to counter peer pressure by developing youth leaders and role models and to strengthen families through parent involvement. Youth Services provides a safe and supervised space for youth gatherings, organizing and activities.",,Monday-Friday,"8:30am-12:00pm, 1:00pm - 5:00pm","6-12, 13-18","Vary. Medi-Cal, private insurance accepted",Wheelchair access,"Spanish, Vietnamese",,,,,Alameda County residents,,"Ac Transit 52, 82, and 83 within  2 blocks",,Fruitvale,Yes,,minimum age: 14,,nophoto.gif,,Crystal Solis-Patten,(510) 535-4492,welcome,,Yes,"additional languages: Navajo, Sioux",DONE if no e-mail back - 041406,,3124 International Blvd. 94601,"Athletics, Education/Academic Support, Youth Leadership/Volunteer"
93,Oakland Asian Student Educational Services (OASES),,"196 10th Street, 2nd Floor",Oakland,CA,94607,,(510) 891-9928,(510) 891-9418,,,www.oases.org,Year Round,"Provides nine after-school programs in Oakland at Lincoln Elementary School and the OASES Center, Monday-Saturday, throughout the school year to recent Asian and Pacific Islander immigrant youth.

Programs include:  Elementary General Tutorial, Middle School General Tutorial, High School General Tutorial, New Immigrant Services (ESL), Kids Into Computers, Kids and Technology, Inspire Mentorship Program, Asian Youth Promoting Advocacy and Leadership, and Summer Enrichment Program.

OASES also sponsors several social events each semester for students such as field trips, parties, or a picnic to expose Asian students to American culture.",,Monday-Friday,10:00am-6:00pm,"6-12, 13-18",No,Wheelchair access,"English, Chinese, Vietnamese",,,,,Students in grade 3-12 attending an Oakland Unified School,,AC Transit line 88 within 1 block,,Lake Merritt,,,,,nophoto.gif,,Tiffany Eng,(510) 891-9928 x16,welcome,,Yes,,DONE if don't rec fax back - 041406,,"196 10th Street, 94607","Education/Academic Support, Recreational/Social"
94,Oakland Ballet Academy,,2968 MacArthur Blvd.,Oakland,CA,94602,,(510) 530-7516,,,,,Year Round,The Oakland Ballet Academy offers pre-ballet classes to 4-6 year olds and beginning ballet to children ages 7 and older. Scholarships are available.,,,,"0-5, 6-12, 13-18",Yes,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,2968 MacArthur Blvd. 94602,"Cultural/Arts, Recreational/Social"
96,Oakland East Bay Symphony,,"400 29th Street, #501",Oakland,CA,94609,,(510) 444-0801,(510) 444-0863,,,www.oebf.org,Year Round,"Established in 1988, the Symphony provides orchestral music programs designed for the diverse audiences of the East Bay community. School-aged children are welcome for field trips and music education is offered for children and adults. Performances are generally held at the Calvin Simmons Theater and run from January through May.",,,,"0-5, 6-12, 13-18",Yes,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,Jeenifer Duston,,welcome,,Yes,,,,"400 29th Street, 94609","Cultural/Arts, Recreational/Social"
97,Oakland Private Industry Council / Oakland Career,,"1212 Broadway Street, #100",Oakland,CA,94612,,(510) 768-4473,(510) 891-9968,,,www.oaklandpic.org,Year Round,"Oakland Private Industry Council offers career development, employment preparation, referral and follow-up assistance.",,,,13-18,No,,,,,,,,,,,,,,,mnorman@oaklandpic.org,nophoto.gif,,Marilyn Norman,(510) 768-4473,welcome,,Yes,,,,"1212 Broadway Street, 94612","Employment/Job Readiness, Youth Leadership/Volunteer"
98,Oakland Releaf,,835 57th Street,Oakland,CA,94608,,(510) 601-9062,(510) 228-0391,,,www.releaf.com,Year Round,Oakland Releaf is an urban forestry organization. They revitalize urban communities through tree planting and garden projects.,,,,"0-5, 6-12, 13-18",No,Wheelchair access,"English, Spanish",,,,,,Yes,"15, 18",,,Yes,,minimum age: 6,,nophoto.gif,,Kemba Shakur,,welcome,,Yes,,,,835 57th Street 94608,"Education/Academic Support, Employment/Job Readiness"
99,Oakland U.S. Ice Center,,519 18th Street,Oakland,CA,94612,,(510) 268-9000   101,(510) 268-9159,,,www.oaklandice.com,Year Round,"The Oakland Ice Center proudly offers a Learn 
to Skate Program, which has been developed especially for athletes with special physical and mental challenges. Emphasizing fun and safety, 
the Special Skater Program helps to improve balance and coordination while it promotes an 
?I can do it? attitude that carries over into other aspects of the participant?s life.",,,,"0-5, 6-12, 13-18",Yes,Wheelchair access,,,,,,,,,,19th St. Oakland,,,,,nophoto.gif,,,,welcome,,Yes,,,,519 18th Street 94612,Recreational/Social
100,Oakland Youth Chorus,,"2619 Broadway Street, 3rd Floor",Oakland,CA,94612,,(510) 287-9700,(510) 832-2211,,,www.oaklandyouthchorus.org,During School,"The Oakland Youth Chorus provides a cross-cultural music education and performance program for youth, and fosters talent, confidence and community. The Choral Program (ages 11-21) includes multi-level training in vocal and performance. Annual performances attract thousands of people per year. Middle School Magic Choir is the preparatory level of the Chorus. Middle School instrumental training (Music in the Schools) offers steel pan, Latin percussion, marimba, gamelan, and vocal training with professional musicians. Music of Our World is a world music after-school program at 12 Oakland and Alameda public schools featuring vocal and instrumental training with internationally acclaimed artists-in-residence. Workshops include music of the African and Asian Disapora.",,,,"6-12, 13-18",,Wheelchair access,,,,,,,,51,,19th St. Oakland,,,,,nophoto.gif,,,,welcome,,Yes,,,,"2619 Broadway Street, 94612","Cultural/Arts, Education/Academic Support"
101,Oakland Youth Orchestra (OYO),,1428 Alice St,Oakland,CA,94612,,(510) 832-7710,(510) 832-2571,,,www.oyo.org,Fall,"Founded in 1964 as the educational arm of the Oakland Symphony, Oakland Youth Orchestra 
is recognized as an important musical organization in Oakland and the San Francisco Bay Area. An independent nonprofit group since 1986, OYO student musicians have entered prestigious colleges and music conservatories, and have made careers in major symphonies and opera orchestra as well as jazz and pop. OYO consists of talented young students aged 12-21 years old from all over the 
San Francisco Bay Area.",,,,13-18,"$650 a year,  scholarships available",,,,,,,,,,,,Yes,,,,nophoto.gif,,Micheal Morgan,,welcome,,Yes,,,,1428 Alice St 94612,
102,Oakland Zoo in Knowland Park,,9777 Golf Links Road,Oakland,CA,94605,,(510) 632-9525,,,,www.oaklandzoo.org,Year Round,"There are various educational programs offered to young children by the Oakland Zoo. These include Zoo classroom, docent tours, elementary and conservation Zoo mobile, sky ride and a super safari on the miniature train.",,,,"0-5, 6-12, 13-18",Yes,Wheelchair access,,,,,,,,,,,Yes,,,,nophoto.gif,,,,welcome,,Yes,,,,9777 Golf Links Road 94605,"Cultural/Arts, Recreational/Social"
103,Opera Piccola (Small Works),,5113 Manila Avenue,Oakland,CA,94618,,(510) 658-0967,(510) 658-0967,,,www.opera-piccola.org,Year Round,"Opera Piccola is a multi-racial theater company which brings community performances and performing arts residences to schools, libraries, senior centers and neighborhood organizations. Shows include African, Chinese, German, Mayan and contemporary folk tales.",,,,"0-5, 6-12, 13-18",,Wheelchair access,"English, Spanish",,,,,,Yes,51,,Rockridge,Yes,,minimum age: 13,,nophoto.gif,,,,welcome,,Yes,,,,5113 Manila Avenue 94618,"Cultural/Arts, Youth Leadership/Volunteer"
104,Family Paths,,"1727 Martin Luther King, Jr. Way, #109",Oakland,CA,94612,,(510) 893-9230,(510) 893-2074,,,www.familypaths.org,Year Round,"Provides many services including a 24-hour crisis line, 24-hour Foster Parent Advice Line, Parent Education Classes, Rehabilitative Services, Early Childhood Mental Health, Respite Care, and individual and group counseling to parents and foster parents who are experiencing stress.

FAMILY HOTLINE / CRISIS LINE / INFORMATION AND REFERRAL LINE offers support and counseling using trained volunteers to parents, caretakers and other concerned about the welfare of children and youth, 24 hours daily, 7 days a week.  Trained staff and volunteers offer tips, anger management, tools, child development information and referrals to other services and agencies.  Volunteer training is provided in crisis intervention, basic counseling skills and child abuse prevention.

FOSTER PARENT ADVICE LINE is available 24 hours daily, 7 days a week, providing advice and guidance to caregivers regarding the unique concerns of caring for foster children.

RESPITE CARE provides respite childcare at the homes of certified volunteers for up to 72 hours.

FAMILY PATHS SERVICE COUNSELING PROGRAM provides trained counselors who are available for ongoing counseling specializing in the prevention and treatment of physical, emotional and sexual abuse.  Services include individual therapy for children and parents as well as family therapy.

FAMILIES IN TRANSITION utilizes Early Periodic Screening Diagnosis Treatment (EPSDT) to service children, teens and their families when the child or teen is at risk for out of home placement.  Services include individual and family therapy, comprehensive case management, and Early Childhood Mental Health Services for children, age birth to 5.  Services are available in-home, schools, the community and Parental Stress Service office.

EARLY CHILDHOOD MENTAL HEALTH PROGRAM addresses the social and emotional needs of young children, age birth to 5.  The home-based therapists work with caregivers to strengthen relationships; helps resolve behavioral problems and enrich child development.

PARENTAL EDUCATION CLASS offers parent groups and parenting classes at various locations in the County of Alameda.",,Monday-Friday,9:00am-5:00pm,"0-5, 6-12, 13-18","Vary according to income. Hotline, respite care are free.","Wheelchair access, Sign language interpreter upon request","English, Spanish",,,,,"Family with children, age 18 or under",Yes,"11,12,15,35X,36X,40,43,51,58,59,72,73 and KH","Oakland, Fremont, Hayward",19th St. Oakland,Yes,,"minimum 18 for telephones, youth office work",,nophoto.gif,,"Marcella Reeves, ED",(510) 893-9230,welcome,,Yes,,DONE by tel - formerly Parental Stress Svcs - 041706 ka,,"1727 Martin Luther King, Jr. Way, 94612","Family Support/Counseling, Youth Leadership/Volunteer"
105,PediatriCare: A Program of the East Bay Agency for,,2540 Charleston Street,Oakland,CA,94602,,(510) 531-7551,(510) 531-3657,,,www.ebac.org,Year Round,"PediatriCare offers ongoing peer support for children and families who are coping with illness or loss. Other services include outpatient individual and family counseling that is home, office, or school based, and Comfort Companion programs for children, teens and families impacted by illness (including HIV/AIDS and Cancer) or bereavement.",,,,"0-5, 6-12, 13-18",No,,,,,,,,,,,,Yes,,,,nophoto.gif,,Alinya Charron,,welcome,,Yes,,,,2540 Charleston Street 94602,"Family Support/Counseling, Health/Wellness"
106,Prescott Clown Troupe,,3864 Brown Avenue,Oakland,CA,94619,,(510) 482-1674,,,,www.prescottcircus.org,During School,"The Prescott Clown Troupe is an after-school program offering circus skills performing and leadership training for West Oakland students grades 4-6. They appear in schools, senior facilities, and community events for 12,000+ fans.",,,,6-12,,,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,3864 Brown Avenue 94619,"Cultural/Arts, Recreational/Social"
107,Providing Alternatives to Violence (PAV),,2955 Shattuck Avenue,Berkeley,CA,94705,,(510) 644-0922,(510) 486-8088,,,http://www.equalrights4all.org/srn/pavsrn.htm,Year Round,"PAV provides anger management, violence 
prevention, racial tolerance, self-empowerment 
and resiliency-building skills to youth and adults.",,,,"0-5, 6-12, 13-18",,,,,,,,,,,,,,,,,nophoto.gif,,Lorre Hill,(510) 644-0922,welcome,,Yes,,,,2955 Shattuck Avenue 94705,Family Support/Counseling
108,PUEBLO (People United for a Better Oakland),,1920 Park Blvd.,Oakland,CA,94606,,(510) 452-2010,(510) 452-2017,,,www.peopleunited.org,Year Round,"The agency is muti-racial and multi-generational community based organization in Oakland working on issues of poverty, youth and education, police accountability, community safety and environmental justice.",,,,13-18,No,Wheelchair access,,,,,,,,"14, 15, 11",,Lake Merritt,Yes,,,,nophoto.gif,,,,welcome,,Yes,,,,1920 Park Blvd. 94606,"Cultural/Arts, Youth Leadership/Volunteer"
109,Purple Bamboo Orchestra / Great Wall Orchestra,,225 11th Street,Oakland,CA,94607,,(510) 879-1330,(510) 879-1339,,,http://tlc.ousd.k12.ca.us/lincoln/music.html,Year Round,The Purple Bamboo Orchestra/Great Wall is a K-12 orchestra and chorus that promotes and preserves traditional Chinese music through instruction and performances.,,,,"6-12, 13-18",No,Wheelchair access,Chinese,,,,,,Yes,,,Lake Merritt,Yes,,,sherlyn.chew@yahoo.com,nophoto.gif,,,,welcome,,Yes,,,,225 11th Street 94607,"Cultural/Arts, Education/Academic Support, Youth Leadership/Volunteer"
110,Reach Out and Touch A Youth,,5763 Walnut Street,Oakland,CA,94605,,(510) 562-0673,(510) 562-1751,,,,Year Round,"Reach Out and Touch A Youth?s purpose is to provide year-round services to support youth. 
They supply back-to-school supplies to Oakland youth through the Oakland Public Library and 
offer scholarships to graduating seniors.",,,,"0-5, 6-12, 13-18",No,Wheelchair access,"English, Spanish",,,,,,Yes,"40, 43",,,Yes,,,,nophoto.gif,,,,welcome,,Yes,,,,5763 Walnut Street 94605,"Education/Academic Support, Family Support/Counseling, Youth Leadership/Volunteer"
111,Rotary Club of Oakland,,"1736 Franklin Street, #200",Oakland,CA,94612,,(510) 451-2120,(510) 451-2121,,,http://www.oakland-rotary.org/service.html,Year Round,"The Rotary Club of Oakland offers many programs. The Ambassadorial Scholarship Program is an international experience for high school graduates to study up to one year in a foreign country. H.O.P.E. ? Help Oakland Pupils Excel ? provides 12-year old students from Lowell and Roosevelt Middle Schools with an adult mentor, special activities and a contract for $10,000 for education beyond high school. Camp Enterprise is a program open for juniors in Oakland high schools and offers a 3-day camp that teaches youth about business. Small groups work together under the direction of the Oakland Rotarians. Saroni-Lena scholarships: Oakland high school seniors may apply for a 4-year college scholarship. The average scholarship is $4,000.",,,,13-18,No,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,Lori Sinclair,(510) 451-2120   7,welcome,,Yes,,,,"1736 Franklin Street, 94612","Education/Academic Support, Family Support/Counseling"
112,Saint Vincent?s Day Home,,1086 8th Street,Oakland,CA,94607,,(510) 832-8324,(510) 832-5021,,,www.svdh.org,Year Round,"Saint Vincent?s Day Home provides child care and development services to children. The education based program is provided to low-income families struggling to stay in the work force and/or training, leading to employment. Family services are provided to ensure the health and well being of the family unit. Referrals are made when services cannot be provided at St. Vincent?s.",,,,"0-5, 6-12",Yes,Wheelchair access,"English, Spanish, Chinese",,,,,,Many languages,72,,West Oakland,Yes,,minimum age:  14,,nophoto.gif,,Jennifer Youngblood,,welcome,,Yes,,,,1086 8th Street 94607,"Education/Academic Support, Family Support/Counseling, Youth Leadership/Volunteer"
113,SMAAC Youth Center (Sexual Minority Alliance of Al,,1608 Webster St.,Oakland,CA,94612,,(510) 834-9578,(510) 834-9590,,,www.smaac.org,Year Round,"The mission of the S.M.A.A.C. Youth Center is to provide a safe haven for lesbian, gay, bisexual, transgender, and questioning youth of color. The four basic needs that S.M.A.A.C. seeks to address or broker on young people?s behalf are job training, employment, housing, and health care.",,,,13-18,No,,,,,,,,,"73, 58, 40, 51, 52",,,,,,,nophoto.gif,,Robert Williams,,welcome,,Yes,,,,1608 Webster St. 94612,"Health/Wellness, Recreational/Social, Youth Leadership/Volunteer"
114,SOUL - School of Unity and Liberation,,287 17th St. #225,Oakland,CA,94612,,(510) 451-5466,(510) 451-5866,,,http://www.youthec.org/soul/programs/education.htm,Year Round,"SOUL?s mission is to serve as a training center to develop a new multi-racial generation of young organizers ? especially young women, young people of color, queer youth and low-income youth ? who will have the skills and the vision they need to struggle for the liberation of all oppressed people. These young leaders need to learn organizing skills to mobilize their communities, and to develop visions for social change. SOUL strives to support the growing youth movement ? designing political education, organizing skill trainings, and technical assistance programs to meet the special needs of our generation.",,,,"0-5, 6-12, 13-18",No,,,,,,,,,,,,,,,soul@schoolofunityandliberation.org,nophoto.gif,,Akua C. Jackson,510-451-5466    309,welcome,,Yes,,,,287 17th St. 94612,"Cultural/Arts, Education/Academic Support, Youth Leadership/Volunteer"
116,Spanish Speaking Unity Council,,3411 E. 12th St. #200,Oakland,CA,94601,,(510) 535-6900,(510) 532-3894,,,www.unitycouncil.org,Year Round,"The Spanish Speaking Unity Council includes youth in a variety of programs that focus on community building, environmental education and awareness, family literacy, and neighborhood revitalization.",,,,"0-5, 6-12, 13-18",No,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,Gilda Gonzales,(510) 535-6900,welcome,,Yes,,,,3411 E. 12th St. 94601,"Cultural/Arts, Education/Academic Support, Recreational/Social"
117,Sports 4 Kids,,517 4th St.,Oakland,CA,94601,,(510) 893-4180,(510) 893-4378,,,www.sports4kids.org,Year Round,Sports 4 Kids? mission is to support and create youth sports and recreational opportunities to enhance the health and well being of youth and communities. Sports 4 Kids runs in-school and after school programs for 40 schools in the East Bay.,,,,6-12,,Wheelchair access,"English, Spanish",,,,,,Yes,,,,,,,,nophoto.gif,,Maya Novak,(510) 893-4180,welcome,,Yes,,"Angelica Outreach
Rayna Input
7/25/05",,517 4th St. 94601,"Athletics, Recreational/Social"
118,St. Mary?s Center,,635 22nd Street,Oakland,CA,94612,,(510) 893-4723,(510) 893-0119,,email: stmary@dnai.com,http://www.stmaryscenter.org/,Year Round,St. Mary?s Center offers preschool programs for children age 2 1/2 to 5 years old. The Center provides educational enrichment in preparation for elementary school.,,,,0-5,Yes,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,635 22nd Street 94612,Education/Academic Support
119,Thunder Road,,390 40th Street,Oakland,CA,94609,,(510) 653-5040,(510) 653-6475,,,http://www.thunder-road.org/index.html,Year Round,Thunder Road assists youth and their families who suffer from problems related to the abuse of drugs and alcohol to overcome those problems and become functioning members of their respective communities.,,,,13-18,,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,390 40th Street 94609,"Family Support/Counseling, Health/Wellness"
120,West Oakland Health Center (WOHC) / Community Reco,,9006 MacArthur Blvd.,Oakland,CA,94605,,(510) 430-1771,(510) 569-4965,,,,Year Round,"WOHC serves Alameda County adolescents who are in need of non-residential substance abuse treatment. Referrals are accepted from juvenile justice or school systems, agency staff, parents, other third party individuals and self-referrals.",,,,13-18,Yes,,,,,,,,,,,,,,,,nophoto.gif,,Pambra Mola,,welcome,,Yes,,,,9006 MacArthur Blvd. 94605,"Education/Academic Support, Family Support/Counseling, Mentoring"
121,West Oakland Mental Health,,2730 Adeline Street,Oakland,CA,94607,,(510) 465-1800,(510) 465-1508,,,,Year Round,"West Oakland Mental Health provides outpatient therapy for children and adolescents. WOMH also conducts workshops at school sites, including: conflict mediation at McClymonds High and Lowell Middle Schools, anger management groups at Oakland and Emeryville Schools. Other workshops include parenting, education and social skills, a support group for teen girls and an intense learning center for 3rd, 4th, and 5th grades.",,,,"0-5, 6-12, 13-18",Yes,,,,,,,,,,,,Yes,,,,nophoto.gif,,Loretta Langston Robinson,(510) 465-1800,welcome,,Yes,,,,2730 Adeline Street 94607,"Education/Academic Support, Family Support/Counseling"
122,World PULSE and Bridges ? Program for Understandin,,1203 Preservation Park Way,Oakland,CA,94612,,(510) 451-2995,(510) 451-2996,,,www.worldpulse.org,Year Round,World PULSE is a cross-cultural leadership program for young adults. They involve selected Young Ambassadors in a 10 month training program prior to sponsoring their first international travel experiences. Participants travel abroad for two to four weeks in the summer to join peers from around the world on an international volunteer project. World PULSE covers 80% of all costs.,,,,13-18,,Wheelchair access,,,,,,,,51,,12th St. Oakland City Center,Yes,,,,nophoto.gif,,(510) 451-2995,,welcome,,Yes,,,,1203 Preservation Park Way 94612,"Cultural/Arts, Youth Leadership/Volunteer"
123,Xanthos/Alameda County Youth Shelter,,2325 Clement Avenue,Alameda,CA,94501,,(510) 522-8363,(510) 865-1930,,,www.xanthos.org,Year Round,"Xanthos/Alameda County Youth Shelter and other community programs operate the sole emergency overnight shelter and outreach programs for homeless, runaway, and abandoned youth ages 13-17. Other programs include drop out prevention, alcohol and drug adolescent services, sexual abuse and exploitation prevention service and individual and family counseling/case management.",,,,13-18,No,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,Nika St. Claire,(510) 522-8363,welcome,,Yes,,,,2325 Clement Avenue 94501,"Family Support/Counseling, Health/Wellness"
124,YMCA of the East Bay,,2330 Broadway,Oakland,CA,94612,,(510) 451-8039,(510) 987-7449,,,www.ymcaeastbay.org,Year Round,"The YMCA offers a multitude of activities and programs to children of all ages. Some of the programs offered are: after-school programs, youth karate, sports leagues, and day/resident camps.",,,,"0-5, 6-12, 13-18",,Wheelchair access,,,,,,,,"51, 40, 58, 12, 43",,19th St. Oakland,Yes,,,,nophoto.gif,,,,welcome,,Yes,,,,2330 Broadway 94612,"Employment/Job Readiness, Recreational/Social, Youth Leadership/Volunteer"
125,Young Life East Bay,,4101 Park Blvd.,Oakland,CA,94602,,(510) 530-5812,(510) 530-5028,,,www.younglife.org,Year Round,"Young Life is a Christian outreach program for adolescents.  Currently, clubs focus around the community of Castlemont High School, Berkeley High School, and Oakland Technical High School. Clubs starting up in the fall include Willard Middle School and McClymonds High School. They have winter and summer camps, ski trips and many outings.",,,,13-18,,Wheelchair access,,,,,,,,,,,,,,,nophoto.gif,,,,welcome,,Yes,,,,4101 Park Blvd. 94602,"Family Support/Counseling, Recreational/Social, Youth Leadership/Volunteer"
126,Young Women?s Christian Association (YWCA),,1515 Webster Street,Oakland,CA,94612,,(510) 451-7900,(510) 832-1159,,,www.ywcaoakland.org,Year Round,"The YWCA of Oakland is a membership organization committed to the elimination of racism and sexism. A wide range of programs are offered to enhance the physical, emotional, spiritual and economic health of women/girls and their families. Some of the programs currently offered are:  infant and toddler development; employment training; information and referral; family counseling; fitness and health programs; continuing education; creative arts and crafts and leadership training for women and girls.",,,,"0-5, 6-12, 13-18",,Wheelchair access,,,,,,,,,,12th St. Oakland City Center,,,,,nophoto.gif,,,,welcome,,Yes,,,,1515 Webster Street 94612,"Athletics, Cultural/Arts, Recreational/Social"
127,Youth ALIVE!,,3300 Elm Street,Oakland,CA,94609,,(510) 594-2588,(510) 594-0667,,,www.youthalive.org,Year Round,"Youth ALIVE! aims to break the cycle of violence through its highly successful Intervention Program, which provides mentoring and a link to community services for young victims of violence, their families, youth suspended from school and youth on probation.",,,,13-18,No,Wheelchair access,"English, Spanish",,,,,,Many languages,14,,MacArthur,,,,,nophoto.gif,,(510) 594-2588,,welcome,,Yes,,,,3300 Elm Street 94609,"Family Support/Counseling, Mentoring"
132,Youth Leadership Institute,,"246 First Street, #400",San Francisco,CA,94105,,(415) 836-9160,(415) 836-0071,,,www.yli.org,Year Round,"The Youth Leadership Institute (YLI) is a community-based institute that works with young people, youth practitioners and the systems that impact them in order to build communities that respect, honor, and support youth.

YLI is composed of two distinct parts: a national Training Institute and Community-Based Programs that serve as our local ?learning laboratories.? The Training Institute develops and delivers professional, effective training ? primarily to people in systems that impact the lives of young people, with the goal of shifting these systems towards youth development practices.",,,,"0-5, 6-12, 13-18",,,,,,,,,,,,,,,,cchase@oaklandnet.com,nophoto.gif,,,(415) 836-9160,,,Yes,,,,"246 First Street, 94105",Youth Leadership/Volunteer
133,Youth of Oakland United (Y.O.U.),,1920 Park Blvd,Oakland,CA,94606,,(510) 452-2010,(510) 452-2017,,,www.pueblo.org,Year Round,Y.O.U. strives to unite individuals and communities to exercise the power to change the conditions which affect our lives.,,,,13-18,,Wheelchair access,"English, Spanish",,,,,,Yes,"15, 11, 14",,Lake Merritt,Yes,,minimum age: 13,cchase@oaklandnet.com,nophoto.gif,,,(510) 452-2010,,,Yes,,,,1920 Park Blvd 94606,Youth Leadership/Volunteer
134,Youth Radio,,1809 University Avenue,Berkeley,CA,94703,,(510)841-5123,(510)841-9804,,peter@youthradio.org,http://www.youthradio.org/about/getinvolved.shtml,Year Round,"Youth Radio is nonprofit organization based in Berkeley where Bay Area high school students from diverse backgrounds learn the basics of broadcasting and broadcast journalism. On Friday evenings from 7-9 p.m., students produce and DJ their own radio show, ?Youth In Control,? which airs in Berkeley on KPFB 89.3 FM. Students write news and commentaries, and produce PSAs which they deliver weekly on the radio show. Students learn on-air procedures, production skills, interview techniques, and field recording.",,,,13-18,No,Wheelchair access,"English, Spanish",,,,,,Yes,51,,Downtown Berkeley,,,,peter@youthradio.org,nophoto.gif,,Peter Stalker,(510)841-5123,,,Yes,,"called - will call back with serv desc.-ka
no call DONE - 051206",,1809 University Avenue 94703,"Employment/Job Readiness, Mentoring, Youth Leadership/Volunteer"
135,Youth Sounds,,,,,,,,,,,,Year Round,"Youth Sounds is committed to helping youth reflect on and share important stories about their lives, family, school and community through radio and video production.",,,,13-18,,,"English,Spanish",,,,,,Yes,"88, 72, 73",,MacArthur,Yes,,,cchase@oaklandnet.com,nophoto.gif,,,,,,No,,,,,"Cultural/Arts,Media Arts"
138,Department of Student and Family Services,,"1025 Second Avenue, Portable 15",Oakland,CA,94606,,(510) 879-8111,(510) 879-1836,,,www.sfcs.ousd.k12.ca.us,Year Round,"Mission Statement:  We believe the entire community must be actively engaged to ensure the success of Oakland students.  In collaboration with families and communities, the Department of Student, Family and Community Services will develop and promote the talents of Oakland youth as full partners to lead positive change efforts and create policies that support safe, healthy and just environments.  The Department of Student, Family and Community Services will develop and assist in maintaining support programs that foster the academic achievement of all students.",None,,,"6-12, 13-18",,,"English, Spanish, Chinese, Vietnamese",,,,,,Many languages,,,Lake Merritt,,,,,nophoto.gif,,"Gail Whang,Executive Director",(510) 879-8349,,,Yes,,,,"1025 Second Avenue, 94606","Education/Academic Support, Employment/Job Readiness, Family Support/Counseling, Mentoring"
139,21st Century Community and Learning Center,,,Oakland,CA,,,(510)879-8111,(510)879-1836,,,,After School,"Previously a U.S. Department of Education program of up to $125,000 per year per site for three years, 21st CCLC is now a five year State reimbursement program. 21st CCLC provides academic enrichment, academic reinforcement and family literacy.",,,,"0-5, 6-12, 13-18",,,,,,,,,,,,,,,,,nophoto.gif,,Jackie Voo,(510)879-8580,,,No,,"left msg - 040606 - not sure program still exists
another msg 041706 Pauline Williams",,,"Education/Academic Support, Family Support/Counseling"
140,Eastlake YMCA,,1612 45th Avenue,Oakland,CA,94601,,(510) 534-7441,(510) 534-7444,,,,Year Round,"The Eastlake YMCA provides truancy intervention and youth support services. Teens Together is a truancy prevention program that provides homework assistance, education, sport and recreational activities and parental development workshops.",,,,"0-5, 6-12, 13-18",Yes,Wheelchair access,Spanish,,,,,,Yes,,,,,,,,nophoto.gif,,,(510) 534-7441 ex191,,,Yes,,,,1612 45th Avenue 94601,"Athletics, Education/Academic Support, Family Support/Counseling, Mentoring"
141,Neighborhood Services Program,,"24100 Amador Street, 5th Floor",Hayward,CA,94544,,(510) 780-8900,(510) 780-8710,,,www.co.alameda.ca.us,Year Round,"The Neighborhood Services Program?s goal is to strengthen families, reduce at-risk situations for children and families, and decrease the need for placing children in foster care. Services provided are assessment of families at risk of child abuse and neglect, case management, short term counseling, substance abuse, domestic violence, mental health and medical issues.",Families at risk of child abuse and neglect.,,,"0-5, 6-12, 13-18",,Wheelchair access,,,,,,,,,,Hayward Station,,,,,nophoto.gif,,CHILD ABUSE HOTLINE,(510) 259-1800,,,Yes,,,,"24100 Amador Street, 94544",Family Support/Counseling
143,Agency Placements,,,Oakland,CA,,,(510)879-8160,(510) 879-1836,,,,,Agency Placements apply to students who have recently been in a juvenile detention facility and who are placed on probation. These students and their families meet with our program assistant to determine any additional needs required to support the student?s transition back into a comprehensive or alternative education setting. This process also ensures that students are placed according to the number of credits earned by the student in any previous education setting.,,,,13-18,,,,,,,,,,,,,,,,bjmcgee@ousd.k12.ca.us,nophoto.gif,,Betty McGee,(510) 879-8610,,,Yes,,,Oakland Unified School District,,"Education/Academic Support, Family Support/Counseling"
